Running Time,Self (ms),,Symbol Name
0.4ms    0.0%,0, ,       ImageLoader::recursiveInitialization(ImageLoader::LinkContext const&, unsigned int, ImageLoader::InitializerTimingList&, ImageLoader::UninitedUpwards&)
0.4ms    0.0%,0, ,        ImageLoaderMachO::doInitialization(ImageLoader::LinkContext const&)
0.4ms    0.0%,0, ,         ImageLoaderMachO::doModInitFunctions(ImageLoader::LinkContext const&)
0.4ms    0.0%,0, ,          libSystem_initializer
0.2ms    0.0%,0, ,           libdispatch_init
0.2ms    0.0%,0, ,            _os_object_init
0.2ms    0.0%,0, ,             _objc_init
0.2ms    0.0%,0, ,              dyld_register_image_state_change_handler
0.2ms    0.0%,0, ,               dyld::registerImageStateBatchChangeHandler(dyld_image_states, char const* (*)(dyld_image_states, unsigned int, dyld_image_info const*))
0.2ms    0.0%,0, ,                dyld::notifyBatchPartial(dyld_image_states, bool, char const* (*)(dyld_image_states, unsigned int, dyld_image_info const*))
0.2ms    0.0%,0, ,                 map_images
0.2ms    0.0%,0, ,                  map_images_nolock
0.1ms    0.0%,0, ,                   _read_images
0.0ms    0.0%,0.04, ,                    realizeClass(objc_class*)
0.0ms    0.0%,0, ,                    readClass(objc_class*, bool, bool)
0.0ms    0.0%,0, ,                     remapClass(objc_class*)
0.0ms    0.0%,0, ,                      remappedClasses(signed char)
0.0ms    0.0%,0, ,                       NXCreateMapTableFromZone
0.0ms    0.0%,0, ,                        NXHashGet
0.0ms    0.0%,0.04, ,                         NXPtrHash
0.0ms    0.0%,0, ,                    NXMapKeyCopyingInsert
0.0ms    0.0%,0, ,                     _strdup_internal
0.0ms    0.0%,0.04, ,                      _platform_memmove$VARIANT$Unknown
0.0ms    0.0%,0, ,                   dlopen
0.0ms    0.0%,0.04, ,                    dlopen
0.0ms    0.0%,0, ,              environ_init
0.0ms    0.0%,0.04, ,               issetugid
0.0ms    0.0%,0.04, ,            _Block_use_RR2
0.1ms    0.0%,0, ,           _dyld_initializer
0.0ms    0.0%,0, ,            dyld_register_image_state_change_handler
0.0ms    0.0%,0, ,             dyld::registerImageStateBatchChangeHandler(dyld_image_states, char const* (*)(dyld_image_states, unsigned int, dyld_image_info const*))
0.0ms    0.0%,0, ,              std::__1::vector<char const* (*)(dyld_image_states, unsigned int, dyld_image_info const*), std::__1::allocator<char const* (*)(dyld_image_states, unsigned int, dyld_image_info const*)> >::insert(std::__1::__wrap_iter<char const* (* const*)(dyld_image_states, unsigned int, dyld_image_info const*)>, char const* (* const&)(dyld_image_states, unsigned int, dyld_image_info const*))
0.0ms    0.0%,0, ,               operator new(unsigned long)
0.0ms    0.0%,0, ,                malloc
0.0ms    0.0%,0, ,                 malloc
0.0ms    0.0%,0, ,                  _malloc_initialize
0.0ms    0.0%,0, ,                   malloc_zone_register_while_locked
0.0ms    0.0%,0, ,                    mach_vm_allocate
0.0ms    0.0%,0.04, ,                     _kernelrpc_mach_vm_allocate_trap
0.0ms    0.0%,0.04, ,            registerThreadHelpers(dyld::LibSystemHelpers const*)
0.0ms    0.0%,0, ,           mach_init
0.0ms    0.0%,0, ,            mach_init_doit
0.0ms    0.0%,0.04, ,             mach_reply_port
0.0ms    0.0%,0, ,           _libc_initializer
0.0ms    0.0%,0, ,            __atexit_init
0.0ms    0.0%,0, ,             _os_alloc_once
0.0ms    0.0%,0, ,              _os_once
0.0ms    0.0%,0, ,               _os_alloc
0.0ms    0.0%,0, ,                _os_alloc_slow
0.0ms    0.0%,0, ,                 mach_vm_map
0.0ms    0.0%,0.04, ,                  _kernelrpc_mach_vm_map_trap
0.0ms    0.0%,0, ,           _libxpc_initializer
0.0ms    0.0%,0, ,            _should_do_early_init
0.0ms    0.0%,0, ,             xpc_copy_entitlement_for_token
0.0ms    0.0%,0, ,              _xpc_copy_entitlements
0.0ms    0.0%,0, ,               _xpc_copy_entitlements_data
0.0ms    0.0%,0.04, ,                csops
0.1ms    0.0%,0, ,      ImageLoader::processInitializers(ImageLoader::LinkContext const&, unsigned int, ImageLoader::InitializerTimingList&, ImageLoader::UninitedUpwards&)
0.1ms    0.0%,0, ,       ImageLoader::recursiveInitialization(ImageLoader::LinkContext const&, unsigned int, ImageLoader::InitializerTimingList&, ImageLoader::UninitedUpwards&)
0.0ms    0.0%,0, ,        dyld::notifySingle(dyld_image_states, ImageLoader const*)
0.0ms    0.0%,0, ,         load_images
0.0ms    0.0%,0, ,          call_load_methods
0.0ms    0.0%,0, ,           objc_autoreleasePoolPush
0.0ms    0.0%,0, ,            (anonymous namespace)::AutoreleasePoolPage::autoreleaseNoPage(objc_object*)
0.0ms    0.0%,0, ,             malloc_zone_memalign
0.0ms    0.0%,0, ,              szone_memalign
0.0ms    0.0%,0.04, ,               szone_malloc_should_clear
0.0ms    0.0%,0, ,        ImageLoader::recursiveInitialization(ImageLoader::LinkContext const&, unsigned int, ImageLoader::InitializerTimingList&, ImageLoader::UninitedUpwards&)
0.0ms    0.0%,0, ,         ImageLoader::recursiveInitialization(ImageLoader::LinkContext const&, unsigned int, ImageLoader::InitializerTimingList&, ImageLoader::UninitedUpwards&)
0.0ms    0.0%,0, ,          ImageLoaderMachO::doInitialization(ImageLoader::LinkContext const&)
0.0ms    0.0%,0, ,           ImageLoaderMachO::doModInitFunctions(ImageLoader::LinkContext const&)
0.0ms    0.0%,0, ,            _GLOBAL__I_a
0.0ms    0.0%,0, ,             std::__1::ios_base::Init::Init()
0.0ms    0.0%,0, ,              std::__1::__stdinbuf<char>::__stdinbuf(__sFILE*, __mbstate_t*)
0.0ms    0.0%,0, ,               std::__1::basic_streambuf<char, std::__1::char_traits<char> >::basic_streambuf()
0.0ms    0.0%,0, ,                std::__1::locale::locale()
0.0ms    0.0%,0, ,                 std::__1::locale::__global()
0.0ms    0.0%,0, ,                  std::__1::locale::classic()
0.0ms    0.0%,0, ,                   std::__1::locale::__imp::__imp(unsigned long)
0.0ms    0.0%,0, ,                    std::__1::locale::id::__get()
0.0ms    0.0%,0, ,                     std::__1::__call_once(unsigned long volatile&, void*, void (*)(void*))
0.0ms    0.0%,0.04, ,                      std::__1::locale::id::__init()
0.0ms    0.0%,0.04, ,   strcmp
0.0ms    0.0%,0, ,   ImageLoaderMachO::instantiateMainExecutable(macho_header const*, unsigned long, char const*, ImageLoader::LinkContext const&)
0.0ms    0.0%,0, ,    ImageLoaderMachOCompressed::instantiateMainExecutable(macho_header const*, unsigned long, char const*, unsigned int, unsigned int, ImageLoader::LinkContext const&)
0.0ms    0.0%,0.04, ,     ImageLoaderMachO::setSlide(long)
0.0ms    0.0%,0.04, ,  mach_init
